1　乗用型トラクター(2駆・4駆・クローラ),"","","","","","","","","","","","","","","","","","","","","",""
"",クボタ,KL285(PC),3,28,"","",●,"","","",●,"",●,"",07,～,"",07,2277,1888,1694,""
"",クボタ,KL28H,5,28,"",●,"","",●,"","","",●,"",00,～,"",00,1885,1364,500,""
"",クボタ,KL28H,7,28,"",●,"","","","",●,"",●,"",00,～,"",00,1691,1442,1118,""
"",クボタ,KT250(PC),8,25,"","",●,"","","",●,"",●,"",05,～,"",05,1650,1346,902,""
"",クボタ,KT255(PC),5,25,"","",●,"",●,"","","",●,"",08,～,"",08,2000,1713,1476,""
"",クボタ,KT255(PC),3,25,"","",●,"","","",●,"",●,"",08,～,"",08,1590,1355,1111,""
"",クボタ,KT27,3,27,"",●,"","",●,"","","",●,"",02,～,"",02,1463,1375,1300,""
"",クボタ,KT285,3,28,"",●,"","","","",●,"",●,"",08,～,"",08,1764,1714,1664,""
"",クボタ,L1-275,3,27,"",●,"","","","","",●,"",●,88,～,"",88,420,347,296,""
"",クボタ,L27,3,27,"",●,"","","","",●,"",●,"",98,～,"",98,1338,1079,926,""
"",三菱,GO260,3,26,"",●,"","","","",●,"",●,"",08,～,"",08,2000,1639,1250,""
"",三菱,GS250,3,25,"",●,"","","","",●,"",●,"",06,～,"",06,1250,1050,906,""
"",ヤンマー,AF-250,6,25,"",●,"","","","",●,"",●,"",97,～,"",99,1115,978,833,""
"",ヤンマー,AF-26,7,26,"",●,"","","","",●,"",●,"",95,～,"",98,1083,599,213,""
"",ヤンマー,AF-26,7,26,"",●,"","","","",●,"","",●,90,～,"",09,741,449,269,""
"",ヤンマー,AF-270,4,27,"",●,"","","","",●,"",●,"",96,～,"",00,1435,972,741,""
"",ヤンマー,AF-270J,3,27,"",●,"","","","",●,"",●,"",01,～,"",01,1204,818,296,""
"",ヤンマー,AF-270R,3,27,"",●,"","","","",●,"",●,"",97,～,"",97,1389,1389,1389,""
"",ヤンマー,AF326,7,26,"",●,"","","","",●,"",●,"",00,～,"",02,1806,1328,1111,""
"",ヤンマー,AF328JR,3,28,"",●,"","","","",●,"",●,"",01,～,"",01,1454,1210,926,""
"",ヤンマー,EF226,3,26,"",●,"","",●,"","","",●,"",04,～,"",04,1620,1404,1111,""
"",ヤンマー,EF226,7,26,"",●,"","","","",●,"",●,"",04,～,"",04,1296,1148,832,""
"",ヤンマー,EF326,3,26,"",●,"","","","",●,"",●,"",04,～,"",05,1296,1173,1111,""
"",ヤンマー,EF326VJ,3,26,"",●,"","","","",●,"",●,"",06,～,"",07,1759,1531,1287,""
"",ヤンマー,EF328V,3,28,"",●,"","","","",●,"",●,"",07,～,"",08,1639,1534,1389,""
"",ヤンマー,EG225,7,25,"",●,"","","","",●,"",●,"",98,～,"",13,1944,1653,1019,""
"",ヤンマー,EG227,7,27,"",●,"","","","",●,"",●,"",98,～,"",12,1574,1395,1042,""
"",ヤンマー,F255,4,25,"",●,"","","","",●,"",●,"",90,～,"",98,231,197,93,""
"",ヤンマー,FX255,9,25,"",●,"","","","",●,"",●,"",88,～,"",99,648,360,185,""
"",ヤンマー,FX255,4,25,"",●,"","","","",●,"","",●,98,～,"",98,250,178,74,""
"",ヤンマー,FX26,4,26,"",●,"","","","",●,"",●,"",84,～,"",00,252,230,204,""
"",ヤンマー,FX265,10,26,"",●,"","","","",●,"",●,"",88,～,"",03,556,402,120,""
"",ヤンマー,FX28,3,28,"",●,"","","","",●,"",●,"",89,～,"",00,556,327,185,""
"",ヤンマー,RS-27,5,27,"",●,"","","","",●,"",●,"",85,～,"",95,926,651,300,""
