1　乗用型トラクター(2駆・4駆・クローラ),"","","","","","","","","","","","","","","","","","","","","",""
"",クボタ,B1-15,3,15.5,"",●,"","","","","",●,●,"",85,～,"",85,463,327,240,""
"",クボタ,B1600,3,16,"",●,"","","","","",●,●,"",79,～,"",79,231,200,185,""
"",クボタ,B72,11,16.5,"",●,"","","","",●,"",●,"",98,～,"",98,893,592,370,""
"",クボタ,GB15,13,15,"",●,"","","","",●,"",●,"",97,～,"",97,778,444,114,""
"",クボタ,GB15,14,15,"",●,"","","","",●,"","",●,97,～,"",97,634,491,131,""
"",クボタ,GB150,4,15,"",●,"","","","",●,"",●,"",01,～,"",01,653,458,88,""
"",クボタ,GB155,3,15,"",●,"","","","",●,"",●,"",03,～,"",03,556,486,370,""
"",クボタ,GB16,3,16,"",●,"","","","",●,"",●,"",96,～,"",96,902,580,374,""
"",クボタ,GB160,10,16,"",●,"","","","",●,"",●,"",00,～,"",00,801,567,437,""
"",クボタ,GB170,5,17,"",●,"","","","",●,"",●,"",01,～,"",01,730,614,537,""
"",クボタ,GB175,4,17,"",●,"","","","",●,"",●,"",03,～,"",03,791,663,580,""
"",クボタ,GB18,4,18,"",●,"","","","",●,"",●,"",96,～,"",96,700,624,500,""
"",クボタ,GB180,8,18,"",●,"","","","",●,"",●,"",00,～,"",00,870,640,400,""
"",クボタ,GB180,4,18,"",●,"","","","",●,"","",●,00,～,"",00,1194,769,550,""
"",クボタ,GL-19,6,19,"",●,"","","","","",●,●,"",90,～,"",90,759,582,409,""
"",クボタ,GT19,9,19,"",●,"","","","",●,"",●,"",97,～,"",97,939,694,556,""
"",クボタ,JB15X(PC),3,15,"","",●,"","","",●,"",●,"",09,～,"",09,1065,990,880,""
"",クボタ,JB16,6,16.5,"",●,"","","","",●,"",●,"",06,～,"",06,976,810,600,""
"",クボタ,JB17X(PC),3,17,"","",●,"","","",●,"",●,"",09,～,"",09,1126,1067,1000,""
"",クボタ,KB16,6,16,"",●,"","","","",●,"",●,"",04,～,"",04,1165,845,627,""
"",クボタ,KB18,8,18,"",●,"","","","",●,"",●,"",04,～,"",04,1065,854,680,""
"",クボタ,KB185,3,18.5,"",●,"","","","",●,"",●,"",07,～,"",07,1051,968,926,""
"",クボタ,KB19X,5,19,"",●,"","","","",●,"",●,"",09,～,"",09,1300,1121,806,""
"",クボタ,KB19X(PC),3,19,"","",●,"","","",●,"",●,"",09,～,"",09,1596,1379,1204,""
"",クボタ,L1-185,6,18,"",●,"","","","","",●,●,"",86,～,"",86,450,300,185,""
"",三菱,MMT16,3,15.5,"",●,"","","","",●,"",●,"",02,～,"",02,556,494,370,""
"",三菱,MT156,3,15.5,"",●,"","","","",●,"",●,"",97,～,"",97,300,213,139,""
"",ヤンマー,AF116,4,16,"",●,"","","","",●,"",●,"",01,～,"",02,800,681,556,""
"",ヤンマー,AF116L,4,16,"",●,"","","","",●,"",●,"",05,～,"",05,754,709,694,""
"",ヤンマー,AF118,8,18,"",●,"","","","",●,"",●,"",00,～,"",04,889,790,648,""
"",ヤンマー,AF118L,3,18,"",●,"","","","",●,"",●,"",05,～,"",05,843,707,602,""
"",ヤンマー,AF-15,9,15,"",●,"","","","",●,"",●,"",93,～,"",97,583,321,157,""
"",ヤンマー,AF-16,18,16,"",●,"","","","",●,"",●,"",94,～,"",97,657,430,194,""
"",ヤンマー,AF-160,9,16,"",●,"","","","",●,"",●,"",98,～,"",00,861,575,93,""
"",ヤンマー,AF-17,7,17,"",●,"","","","",●,"",●,"",95,～,"",98,695,449,194,""
"",ヤンマー,AF-170,6,17,"",●,"","","","",●,"",●,"",98,～,"",00,870,772,694,""
"",ヤンマー,AF-18,10,18,"",●,"","","","",●,"",●,"",94,～,"",97,700,440,111,""
"",ヤンマー,AF-180,9,18,"",●,"","","","",●,"",●,"",95,～,"",04,741,546,93,""
"",ヤンマー,AF-180,3,18,"",●,"","","","",●,"","",●,98,～,"",01,741,494,93,""
"",ヤンマー,EF116,4,16,"",●,"","","","",●,"",●,"",96,～,"",08,1250,926,778,""
"",ヤンマー,EF118,6,18,"",●,"","","","",●,"",●,"",05,～,"",08,1204,1025,826,""
"",ヤンマー,F145,3,15,"",●,"","","","",●,"",●,"",94,～,"",94,312,160,28,""
"",ヤンマー,F15,12,15,"",●,"","","","",●,"","",●,85,～,"",93,231,135,93,""
"",ヤンマー,F155,7,16,"",●,"","","","",●,"",●,"",88,～,"",98,231,132,37,""
"",ヤンマー,F16,12,16,"",●,"","","","",●,"","",●,92,～,"",95,185,129,19,""
"",ヤンマー,F165,10,17,"",●,"","","","",●,"",●,"",86,～,"",93,278,146,69,""
"",ヤンマー,F165,4,17,"",●,"","","","",●,"","",●,00,～,"",00,167,153,148,""
"",ヤンマー,F17,3,17,"",●,"","","","","",●,"",●,95,～,"",95,167,148,130,""
"",ヤンマー,F175,7,17,"",●,"","","","",●,"",●,"",85,～,"",01,185,149,65,""
"",ヤンマー,F175,3,17,"",●,"","","","",●,"","",●,96,～,"",96,167,159,153,""
"",ヤンマー,F18,5,18,"",●,"","","","",●,"",●,"",85,～,"",98,278,165,37,""
"",ヤンマー,F18,5,18,"",●,"","","","",●,"","",●,90,～,"",90,231,189,139,""
"",ヤンマー,F-180,13,18,"",●,"","","","",●,"",●,"",91,～,"",02,741,415,185,""
"",ヤンマー,F-190,6,19,●,"","","","","",●,"",●,"",94,～,"",98,898,677,370,""
"",ヤンマー,F195,8,19,"",●,"","","","",●,"",●,"",88,～,"",98,278,204,176,""
"",ヤンマー,F-5,4,15,"",●,"","","","",●,"",●,"",90,～,"",00,330,201,157,""
"",ヤンマー,F-6,13,16,"",●,"","","","",●,"",●,"",83,～,"",00,574,196,28,""
"",ヤンマー,F-7,9,17,"",●,"","","","",●,"",●,"",89,～,"",01,200,165,93,""
"",ヤンマー,GK16,6,16.5,"",●,"","","","","",●,●,"",00,～,"",15,1111,947,630,""
"",ヤンマー,KE-50,17,15,"",●,"","","","",●,"",●,"",96,～,"",02,833,499,167,""
"",ヤンマー,KE-60,6,17,"",●,"","","","",●,"",●,"",00,～,"",04,833,485,204,""
"",ヤンマー,YM1601,5,16,"",●,"","","","","",●,"",●,85,～,"",01,130,120,111,""
"",ヤンマー,YM1610,4,16,"",●,"","","","","",●,"",●,80,～,"",82,222,137,49,""
"",ヤンマー,YM1700,3,17,●,"","","","","","",●,"",●,97,～,"",97,74,60,46,""
