2　乗用型田植機(クランク式・ロータリー式),"","","","","","","","","","","","","","","",""
"",三菱,MPR41H,10,4,"",●,"",●,97,～,"",97,250,131,03,""
"",三菱,MPR43H,3,4,"",●,●,"",03,～,"",03,352,247,110,""
"",三菱,MPR43H,6,4,"",●,"",●,03,～,"",03,358,272,185,""
"",ヤンマー,PE-1,37,4,●,"","",●,99,～,"",02,296,180,74,""
"",ヤンマー,PE-1A,8,4,●,"","",●,01,～,"",02,231,217,200,""
"",ヤンマー,PE-1L,9,4,●,"","",●,04,～,"",04,278,194,139,""
"",ヤンマー,PE-1X,23,4,●,"","",●,04,～,"",04,343,247,139,""
"",ヤンマー,PE-4,12,4,●,"","",●,90,～,"",02,187,59,02,""
"",ヤンマー,PE-40,11,4,●,"","",●,96,～,"",98,278,165,06,""
"",ヤンマー,PE-40DX,3,4,●,"","",●,00,～,"",00,269,158,40,""
"",ヤンマー,PE-40R,18,4,"",●,"",●,99,～,"",99,324,181,11,""
"",ヤンマー,PE-4A,3,4,●,"","",●,00,～,"",00,324,162,14,""
"",ヤンマー,PE-4AR,6,4,"",●,"",●,00,～,"",00,300,219,19,""
"",ヤンマー,PES-1,43,4,●,"","",●,07,～,"",07,463,333,35,""
"",ヤンマー,RJ4,3,4,"",●,●,"",11,～,"",12,926,793,620,""
"",ヤンマー,RJ4,11,4,"",●,"",●,13,～,"",14,1000,779,639,""
"",ヤンマー,RR4,13,4,"",●,"",●,98,～,"",00,370,262,139,""
"",ヤンマー,RR400,14,4,"",●,"",●,93,～,"",02,279,180,02,""
"",ヤンマー,VP1,5,4,"",●,"",●,10,～,"",10,537,459,417,""
"",ヤンマー,VP4,5,4,"",●,●,"",02,～,"",06,550,447,350,""
"",ヤンマー,VP4,12,4,"",●,"",●,02,～,"",09,556,406,200,""
"",ヤンマー,VP40,9,4,"",●,●,"",07,～,"",09,700,556,278,""
"",ヤンマー,VP40,7,4,"",●,"",●,07,～,"",11,769,604,509,""
"",ヤンマー,VP4C,13,4,"",●,"",●,03,～,"",05,556,400,278,""
